id,A change op,B change op,C change op,D change op,Target graph layers,State graph layers,Schedule stages,Schedule duration,Schedule trans. red. duration,Check NOT UNSTABLE result,Check NOT UNSTABLE duration,Check global STABLE result,Check global STABLE duration,Check deps STABLE result,Check deps STABLE duration,Check Static #Estables,Check Static duration,
3825,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0.004,TRUE,2.044,TRUE,2.074,0,4.057,0,0,
4080,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0,0,TRUE,0.258,TRUE,0.248,0,0.485,0,0,
4335,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|C -> B|D],[A|C -> B|D],[2; 2; 2; 2],0,0,TRUE,5.641,TRUE,5.687,0,8.486,0,0,
4590,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0.004,0,TRUE,0.69,TRUE,0.695,0,1.388,0,0,
4845,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0,TRUE,0.028,TRUE,0.029,0,0.046,0,0,
510,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,5.522,TRUE,5.648,0,8.386,0,0,
5100,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0,TRUE,0.066,TRUE,0.065,0,0.14,0,0,
5355,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0,TRUE,0.032,TRUE,0.029,0,0.05,0,0,
5610,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|C -> B|D],[A|C -> B|D],[2; 2; 2; 2],0,0,TRUE,3.541,TRUE,3.589,0,6.312,0,0,
5865,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0,0,TRUE,0.885,TRUE,0.881,0,1.575,0,0,
6120,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.178,TRUE,0.188,0,0.39,0,0,
6375,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0,TRUE,0.029,TRUE,0.028,0,0.04,0,0,
6630,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0,TRUE,0.075,TRUE,0.075,0,0.156,0,0,
6885,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0,TRUE,0.029,TRUE,0.03,0,0.052,0,0,
7140,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> C -> B|D],[A -> C -> B|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.187,TRUE,0.189,0,0.392,0,0,
7395,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.166,TRUE,0.196,0,0.388,0,0,
765,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[B -> A|C -> D],[B -> A|C -> D],[1; 2; 2; 1; 1; 1],0,0.004,TRUE,0.681,TRUE,0.703,0,1.397,0,0,
7650,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 1; 1; 2; 1],0.004,0.004,TRUE,0.091,TRUE,0.088,0,0.18,0,0,
7905,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0,TRUE,0.029,TRUE,0.029,0,0.049,0,0,
8160,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0.004,TRUE,0.076,TRUE,0.075,0,0.157,0,0,
8415,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0,TRUE,0.032,TRUE,0.029,0,0.052,0,0,
8670,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B|C|D],[A -> B|C|D],[3; 1; 1; 3],0.004,0.004,TRUE,3.72,TRUE,3.648,0,6.632,0,0,
8925,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> C -> B|D],[A -> C -> B|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.24,TRUE,0.225,0,0.454,0,0,
9180,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.24,TRUE,0.241,0,0.459,0,0,
9435,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 1; 1; 2; 1],0.004,0.004,TRUE,0.099,TRUE,0.108,0,0.203,0,0,
9690,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0.004,0,TRUE,0.239,TRUE,0.24,0,0.453,0,0,
9945,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0.004,TRUE,0.029,TRUE,0.031,0,0.052,0,0,
1019,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,3.555,TRUE,3.575,0,6.311,0,0,
10199,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0.004,TRUE,0.088,TRUE,0.082,0,0.173,0,0,
10454,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0.004,TRUE,0.032,TRUE,0.031,0,0.063,0,0,
1274,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[B -> A|C -> D],[B -> A|C -> D],[1; 2; 2; 1; 1; 1],0,0,TRUE,0.867,TRUE,0.874,0,1.639,0,0,
1529,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,5.555,TRUE,5.824,0,8.523,0,0,
1784,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0,0.004,TRUE,0.685,TRUE,0.696,0,1.366,0,0,
2039,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0,0.004,TRUE,0.173,TRUE,0.174,0,0.383,0,0,
2294,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,3.537,TRUE,3.568,0,6.267,0,0,
254,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B|C -> D],[A|B|C -> D],[1; 3; 3; 1],0.004,0,TRUE,34.621,TRUE,35.491,0,62.334,0,0,
2549,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0,0.004,TRUE,0.215,TRUE,0.217,0,0.445,0,0,
2804,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,3.579,TRUE,3.62,0,6.259,0,0,
3059,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0,0,TRUE,0.883,TRUE,0.889,0,1.631,0,0,
3314,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,3.516,TRUE,3.516,0,6.263,0,0,
3569,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0,0,TRUE,0.215,TRUE,0.22,0,0.439,0,0,
3824,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0.004,TRUE,2.074,TRUE,2.099,0,4.002,0,0,
4079,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0,0,TRUE,0.261,TRUE,0.266,0,0.505,0,0,
4334,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|C -> B|D],[A|C -> B|D],[2; 2; 2; 2],0.004,0,TRUE,5.507,TRUE,5.559,0,8.439,0,0,
4589,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0,0.004,TRUE,0.691,TRUE,0.688,0,1.393,0,0,
4844,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0.004,0,TRUE,0.027,TRUE,0.028,0,0.046,0,0,
509,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,5.687,TRUE,5.659,0,8.356,0,0,
5099,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0,TRUE,0.065,TRUE,0.066,0,0.14,0,0,
5354,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0.004,0.004,TRUE,0.029,TRUE,0.031,0,0.049,0,0,
5609,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A|C -> B|D],[A|C -> B|D],[2; 2; 2; 2],0,0.004,TRUE,3.536,TRUE,3.604,0,6.275,0,0,
5864,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0,0.004,TRUE,0.87,TRUE,0.882,0,1.648,0,0,
6119,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.183,TRUE,0.19,0,0.379,0,0,
6374,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0.004,0,TRUE,0.029,TRUE,0.029,0,0.049,0,0,
6629,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0,TRUE,0.075,TRUE,0.076,0,0.157,0,0,
6884,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0.004,TRUE,0.03,TRUE,0.03,0,0.052,0,0,
7139,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> C -> B|D],[A -> C -> B|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.189,TRUE,0.188,0,0.397,0,0,
7394,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.189,TRUE,0.189,0,0.382,0,0,
764,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[B -> A|C -> D],[B -> A|C -> D],[1; 2; 2; 1; 1; 1],0,0.004,TRUE,0.689,TRUE,0.69,0,1.375,0,0,
7649,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 1; 1; 2; 1],0.004,0.004,TRUE,0.091,TRUE,0.091,0,0.181,0,0,
7904,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0.004,0,TRUE,0.029,TRUE,0.029,0,0.049,0,0,
8159,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0,TRUE,0.075,TRUE,0.076,0,0.151,0,0,
8414,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0.004,0.004,TRUE,0.03,TRUE,0.03,0,0.051,0,0,
8669,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B|C|D],[A -> B|C|D],[3; 1; 1; 3],0,0,TRUE,3.647,TRUE,3.791,0,6.929,0,0,
8924,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> C -> B|D],[A -> C -> B|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.241,TRUE,0.252,0,0.456,0,0,
9179,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.241,TRUE,0.24,0,0.449,0,0,
9434,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 1; 1; 2; 1],0,0.004,TRUE,0.108,TRUE,0.107,0,0.201,0,0,
9689,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 2; 1],0,0,TRUE,0.235,TRUE,0.242,0,0.447,0,0,
9944,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0,TRUE,0.028,TRUE,0.03,0,0.052,0,0,
1017,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C|D],[A|B -> C|D],[2; 2; 1; 1],0.004,0,TRUE,0.391,TRUE,0.388,0,0.664,0,0,
10197,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C|D],[A -> B -> C|D],[1; 1; 1; 1; 1; 1],0.004,0,TRUE,0.026,TRUE,0.026,0,0.038,0,0,
10452,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1],0,0.004,TRUE,0.029,TRUE,0.03,0,0.045,0,0,
1272,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[B -> A|C -> D],[B -> A|C -> D],[2; 2; 1; 1],0,0.004,TRUE,0.607,TRUE,0.626,0,1.116,0,0,
1527,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C|D],[A|B -> C|D],[2; 2; 1; 1],0,0,TRUE,0.277,TRUE,0.273,0,0.396,0,0,
1782,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B|C -> D],[A -> B|C -> D],[2; 2; 1; 1],0,0,TRUE,0.483,TRUE,0.487,0,0.947,0,0,
2037,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C -> D],[A|B -> C -> D],[1; 2; 2; 1],0,0,TRUE,0.136,TRUE,0.139,0,0.282,0,0,
2292,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C|D],[A|B -> C|D],[1; 2; 2; 1],0,0,TRUE,0.105,TRUE,0.1,0,0.162,0,0,
252,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B|C -> D],[A|B|C -> D],[3; 3],0,0,TRUE,21.966,TRUE,22.916,0,38.899,0,0,
2547,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C -> D],[A|B -> C -> D],[1; 2; 2; 1],0,0,TRUE,0.167,TRUE,0.168,0,0.325,0,0,
2802,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C|D],[A|B -> C|D],[2; 2; 1; 1],0,0,TRUE,0.395,TRUE,0.396,0,0.67,0,0,
3057,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B|C -> D],[A -> B|C -> D],[2; 2; 1; 1],0,0,TRUE,0.634,TRUE,0.625,0,1.157,0,0,
3312,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C|D],[A|B -> C|D],[1; 2; 2; 1],0,0,TRUE,0.1,TRUE,0.102,0,0.162,0,0,
3567,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C -> D],[A|B -> C -> D],[1; 2; 2; 1],0,0,TRUE,0.165,TRUE,0.167,0,0.327,0,0,
3822,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C|D],[A|B -> C|D],[1; 2; 2; 1],0,0,TRUE,0.139,TRUE,0.139,0,0.245,0,0,
4077,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C -> D],[A|B -> C -> D],[1; 2; 2; 1],0,0,TRUE,0.206,TRUE,0.204,0,0.38,0,0,
4332,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|C -> B|D],[A|C -> B|D],[2; 2; 1; 1],0.004,0,TRUE,0.274,TRUE,0.282,0,0.399,0,0,
4587,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B|C -> D],[A -> B|C -> D],[2; 2; 1; 1],0.004,0,TRUE,0.482,TRUE,0.483,0,0.923,0,0,
4842,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1],0,0,TRUE,0.025,TRUE,0.025,0,0.039,0,0,
507,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|B -> C|D],[A|B -> C|D],[2; 2; 1; 1],0,0,TRUE,0.273,TRUE,0.279,0,0.393,0,0,
5097,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C|D],[A -> B -> C|D],[1; 1; 1; 1; 1; 1],0,0,TRUE,0.024,TRUE,0.024,0,0.032,0,0,
5352,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1],0,0,TRUE,0.027,TRUE,0.026,0,0.041,0,0,
5607,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A|C -> B|D],[A|C -> B|D],[2; 2; 1; 1],0,0,TRUE,0.396,TRUE,0.397,0,0.682,0,0,
5862,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B|C -> D],[A -> B|C -> D],[2; 2; 1; 1],0,0,TRUE,0.615,TRUE,0.632,0,1.101,0,0,
6117,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C|D],[A -> B -> C|D],[1; 1; 1; 1; 1; 1],0.004,0,TRUE,0.023,TRUE,0.023,0,0.03,0,0,
6372,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1],0,0,TRUE,0.024,TRUE,0.026,0,0.042,0,0,
6627,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C|D],[A -> B -> C|D],[1; 1; 1; 1; 1; 1],0.004,0.004,TRUE,0.025,TRUE,0.025,0,0.036,0,0,
6882,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1],0.004,0,TRUE,0.028,TRUE,0.028,0,0.044,0,0,
7137,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> C -> B|D],[A -> C -> B|D],[2; 1; 1; 2],0.004,0,TRUE,0.053,TRUE,0.052,0,0.089,0,0,
7392,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 2],0.004,0,TRUE,0.053,TRUE,0.052,0,0.09,0,0,
762,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[B -> A|C -> D],[B -> A|C -> D],[2; 2; 1; 1],0,0,TRUE,0.455,TRUE,0.495,0,0.927,0,0,
7647,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B|C -> D],[A -> B|C -> D],[2; 1; 1; 2],0.004,0,TRUE,0.07,TRUE,0.071,0,0.116,0,0,
7902,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1],0,0,TRUE,0.026,TRUE,0.027,0,0.044,0,0,
8157,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C|D],[A -> B -> C|D],[1; 1; 1; 1; 1; 1],0,0,TRUE,0.025,TRUE,0.025,0,0.035,0,0,
8412,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1],0,0,TRUE,0.028,TRUE,0.028,0,0.044,0,0,
8667,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B|C|D],[A -> B|C|D],[2; 1; 1; 2],0,0,TRUE,0.048,TRUE,0.048,0,0.072,0,0,
8922,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> C -> B|D],[A -> C -> B|D],[2; 1; 1; 2],0,0,TRUE,0.061,TRUE,0.063,0,0.099,0,0,
9177,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,NOOP,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 2],0,0,TRUE,0.062,TRUE,0.063,0,0.103,0,0,
