Topology,Number of resources,Principal op,Principal op percentage,Top changes percentage,Mid op,Top op,Bot op,Target graph layers,State graph layers,Schedule stages,Schedule duration,Schedule trans. red. duration,Check NOT UNSTABLE result,Check NOT UNSTABLE duration,Check global STABLE result,Check global STABLE duration,Check deps STABLE result,Check deps STABLE duration,Check Static #Estables,Check Static duration,,,,,,,
butterfly,5,NOOP,0.4,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1],0.004,,TRUE,0.019,TRUE,0.019,0,0.081,0,0,,,,,,,
butterfly,5,NOOP,0.4,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1],0,,TRUE,0.46,TRUE,0.441,0,1.733,0,0,,,,,,,
butterfly,5,NOOP,0.4,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1],0,,TRUE,0.009,FALSE,0.01,8,0.032,4,0,,,,,,,
butterfly,5,NOOP,0.4,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 2; 2; 1; 1],0,,TRUE,0.066,FALSE,0.01,12,0.269,6,0,,,,,,,
butterfly,5,NOOP,0.4,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 3],0,,TRUE,5.486,TRUE,5.224,0,21.02,0,0,,,,,,,
butterfly,5,NOOP,0.4,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[4; 2],0,,TRUE,80.421,TRUE,73.864,0,570.828,0,0,,,,,,,
butterfly,5,NOOP,0.4,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1],0,,TRUE,0.015,FALSE,0.009,6,0.043,3,0,,,,,,,
butterfly,5,NOOP,0.4,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 2],0,,TRUE,0.01,FALSE,0.009,4,0.032,2,0,,,,,,,
butterfly,5,NOOP,0.4,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 2; 2],0,,TRUE,8.44,TRUE,8.014,0,59.526,0,0,,,,,,,
butterfly,5,NOOP,0.4,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 2; 1; 1],0,,TRUE,0.282,FALSE,0.01,6,1.344,3,0,,,,,,,
butterfly,5,NOOP,0.7,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1; 1],0,,TRUE,0.011,TRUE,0.011,0,0.034,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1; 1],0,,TRUE,0.011,TRUE,0.011,0,0.034,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1],0,,TRUE,0.021,TRUE,0.02,0,0.069,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 2],0,,TRUE,0.011,FALSE,0.009,8,0.037,4,0,,,,,,,
butterfly,5,NOOP,0.7,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1; 1],0,,TRUE,0.011,TRUE,0.011,0,0.034,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1],0,,TRUE,0.098,FALSE,0.01,2,0.427,1,0,,,,,,,
butterfly,5,NOOP,0.7,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1],0,,TRUE,0.017,TRUE,0.017,0,0.041,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 2],0,,TRUE,0.032,TRUE,0.031,0,0.084,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1],0,,TRUE,0.014,TRUE,0.014,0,0.022,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1],0,,TRUE,0.321,TRUE,0.309,0,1.819,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1],0,,TRUE,0.01,TRUE,0.01,0,0.026,0,0,,,,,,,
butterfly,5,NOOP,0.7,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1],0,,TRUE,0.01,TRUE,0.009,0,0.018,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1; 1],0,,TRUE,0.737,TRUE,0.725,0,4.201,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2; 1; 1; 1],0,,TRUE,7.607,TRUE,8.07,0,58.68,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2; 2],0,,TRUE,12.844,TRUE,12.757,0,94.384,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1; 1; 1],0,,TRUE,0.042,TRUE,0.041,0,0.202,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1; 1],0,,TRUE,0.031,TRUE,0.031,0,0.101,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2; 1],0,,TRUE,2.975,FALSE,0.01,2,18.018,1,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 2],0,,TRUE,0.686,TRUE,0.673,0,2.519,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1],0.004,,TRUE,0.12,TRUE,0.121,0,0.221,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2],0,,TRUE,1.908,TRUE,1.947,0,9.036,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 2; 1],0,,TRUE,0.067,TRUE,0.069,0,0.27,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1],0,,TRUE,0.009,TRUE,0.009,0,0.017,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.4,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 2; 2; 1; 1],0,,TRUE,0.053,FALSE,0.01,8,0.212,4,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 3; 1],0.004,,TRUE,2.43,TRUE,2.289,0,14.619,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2; 1; 1; 1],0.004,,TRUE,7.865,TRUE,7.634,0,54.559,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2; 2],0,,TRUE,14.446,TRUE,12.825,0,95.132,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2; 2],0,,TRUE,6.62,TRUE,6.593,0,47.741,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 2; 1; 2],0,,TRUE,0.563,TRUE,0.564,0,7.576,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1; 1; 1; 1],0.004,,TRUE,0.033,FALSE,0.01,4,0.207,2,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 3; 1],0,,TRUE,0.749,FALSE,0.01,2,1.827,1,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 2; 1],0,,TRUE,0.014,FALSE,0.009,4,0.025,2,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1],0,,TRUE,0.024,TRUE,0.024,0,0.059,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2],0.004,,TRUE,0.835,TRUE,0.828,0,3.188,0,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 2; 2; 1; 2],0,,TRUE,0.591,FALSE,0.01,4,4.229,2,0,,,,,,,
butterfly,5,DELETE_CREATE,0.7,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 2; 2; 1; 1],0,,TRUE,0.054,FALSE,0.01,8,0.221,4,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 3; 1],0,,TRUE,2.302,TRUE,2.256,0,14.726,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1],0,,TRUE,0.01,TRUE,0.011,0,0.024,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1; 1],0,,TRUE,0.011,TRUE,0.011,0,0.062,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 2; 1],0,,TRUE,0.1,TRUE,0.094,0,0.312,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1],0.004,,TRUE,0.461,TRUE,0.436,0,1.729,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 1],0,,TRUE,0.091,FALSE,0.01,4,0.346,2,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 2; 1],0,,TRUE,2.424,TRUE,2.428,0,9.244,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 2; 1],0.004,,TRUE,2.358,TRUE,2.399,0,7.365,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 3],0,,TRUE,9.61,TRUE,9.57,0,54.163,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1],0,,TRUE,0.307,TRUE,0.31,0,1.481,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 3; 2],0,,TRUE,26.486,TRUE,23.474,0,201.628,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.4,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1; 1; 1],0,,TRUE,0.021,TRUE,0.021,0,0.117,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 2; 1],0,,TRUE,0.097,TRUE,0.093,0,0.314,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2; 1; 1; 1],0,,TRUE,7.537,TRUE,7.253,0,54.963,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1; 1; 1; 1],0,,TRUE,0.031,TRUE,0.03,0,0.147,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 2; 1; 1],0,,TRUE,0.119,TRUE,0.114,0,0.534,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 2; 1; 1],0,,TRUE,0.659,TRUE,0.658,0,4.094,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1; 1; 1; 1],0.004,,TRUE,0.028,TRUE,0.027,0,0.145,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 2],0,,TRUE,1.784,TRUE,1.766,0,2.267,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[4; 2; 2],0,,TRUE,620.065,TRUE,603.238,,,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2],0,,TRUE,1.91,TRUE,1.874,0,9.231,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1],0.004,,TRUE,0.328,TRUE,0.31,0,1.477,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 2; 2],0,,TRUE,0.996,TRUE,0.954,0,6.819,0,0,,,,,,,
butterfly,5,CREATE_DELETE,0.7,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1; 1; 2],0,,TRUE,0.038,TRUE,0.035,0,0.403,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.2,CREATE_DELETE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[3; 1; 5; 3; 1; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.5,CREATE_DELETE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[7; 1; 5; 1; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.8,CREATE_DELETE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[6; 1; 3; 3],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.2,DELETE_CREATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[3; 1; 5; 1; 1; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.5,DELETE_CREATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[3; 1; 4; 1; 1; 3],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.8,DELETE_CREATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[6; 1; 2; 1; 1; 2],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.2,NOOP,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[6; 2],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.5,NOOP,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[5; 2; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.8,NOOP,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[7; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.2,UPDATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[2; 1; 5; 2; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.5,UPDATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[4; 1; 4; 1; 3],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.4,0.8,UPDATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[5; 1; 2; 1; 3],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.7,0.2,CREATE_DELETE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[4; 1; 6],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.7,0.5,CREATE_DELETE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[4; 1; 6; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.7,0.8,CREATE_DELETE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[5; 1; 3; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.7,0.2,DELETE_CREATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[2; 1; 5; 1; 1],0.016,,,,,,,,0,0,,,,,,,
butterfly,10,UPDATE,0.7,0.5,DELETE_CREATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[3; 1; 1; 1; 1; 4],0.012,,,,FALSE,0.088,,,8,0,,,,,,,
butterfly,10,UPDATE,0.7,0.8,DELETE_CREATE,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[6; 2; 2],0.016,,,,FALSE,0.175,,,5,0,,,,,,,
butterfly,10,UPDATE,0.7,0.2,NOOP,,,[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[0|1|2|3|4 -> 0 -> 0|1|2|3|4],[7; 1; 1],0.016,,,,,,,,0,0,,,,,,,
