id,A change op,B change op,C change op,D change op,Target graph layers,State graph layers,Schedule stages,Schedule duration,Schedule trans. red. duration,Check NOT UNSTABLE result,Check NOT UNSTABLE duration,Check global STABLE result,Check global STABLE duration,Check deps STABLE result,Check deps STABLE duration,Check Static #Estables,Check Static duration
119,CREATE_DELETE,DELETE_CREATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.02,0,0.013,0,0
182,CREATE_DELETE,DELETE_CREATE,NOOP,,[A -> B|C],[A -> B|C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.019,0,0.011,0,0
245,CREATE_DELETE,DELETE_CREATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.02,TRUE,0.02,0,0.013,0,0
56,CREATE_DELETE,DELETE_CREATE,NOOP,,[A|B -> C],[A|B -> C],[2; 2],0,,TRUE,0.093,TRUE,0.09,0,0,0,0
120,CREATE_DELETE,DELETE_CREATE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.021,TRUE,0.02,0,0.018,0,0
183,CREATE_DELETE,DELETE_CREATE,UPDATE,,[A -> B|C],[A -> B|C],[2; 1; 1; 1],0,,TRUE,0.043,TRUE,0.035,0,0.038,0,0
246,CREATE_DELETE,DELETE_CREATE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.022,TRUE,0.031,0,0.02,0,0
57,CREATE_DELETE,DELETE_CREATE,UPDATE,,[A|B -> C],[A|B -> C],[2; 2; 1],0,,TRUE,0.252,TRUE,0.232,0,0.223,0,0
114,CREATE_DELETE,NOOP,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 1; 1],0,,TRUE,0.036,TRUE,0.046,0,0.075,0,0
177,CREATE_DELETE,NOOP,CREATE_DELETE,,[A -> B|C],[A -> B|C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.019,0,0.013,0,0
240,CREATE_DELETE,NOOP,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0.004,,TRUE,0.019,TRUE,0.019,0,0.017,0,0
51,CREATE_DELETE,NOOP,CREATE_DELETE,,[A|B -> C],[A|B -> C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.018,0,0.016,0,0
113,CREATE_DELETE,NOOP,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[2; 1; 1],0,,TRUE,0.046,TRUE,0.048,0,0.071,0,0
176,CREATE_DELETE,NOOP,DELETE_CREATE,,[A -> B|C],[A -> B|C],[1; 1; 1; 1],0,,TRUE,0.019,TRUE,0.019,0,0.013,0,0
239,CREATE_DELETE,NOOP,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.017,TRUE,0.019,0,0.017,0,0
50,CREATE_DELETE,NOOP,DELETE_CREATE,,[A|B -> C],[A|B -> C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.018,0,0.017,0,0
111,CREATE_DELETE,NOOP,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0,,TRUE,0.017,TRUE,0.017,0,0,0,0
174,CREATE_DELETE,NOOP,NOOP,,[A -> B|C],[A -> B|C],[1; 1],0.004,,TRUE,0.016,TRUE,0.017,0,0,0,0
237,CREATE_DELETE,NOOP,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0,,TRUE,0.017,TRUE,0.018,0,0,0,0
48,CREATE_DELETE,NOOP,NOOP,,[A|B -> C],[A|B -> C],[1; 1],0,,TRUE,0.017,TRUE,0.017,0,0,0,0
112,CREATE_DELETE,NOOP,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1],0,,TRUE,0.037,TRUE,0.034,0,0.027,0,0
175,CREATE_DELETE,NOOP,UPDATE,,[A -> B|C],[A -> B|C],[1; 1; 1],0,,TRUE,0.017,TRUE,0.017,0,0.01,0,0
238,CREATE_DELETE,NOOP,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1],0,,TRUE,0.022,TRUE,0.018,0,0.012,0,0
49,CREATE_DELETE,NOOP,UPDATE,,[A|B -> C],[A|B -> C],[1; 1; 1],0,,TRUE,0.016,TRUE,0.017,0,0.012,0,0
118,CREATE_DELETE,UPDATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.035,TRUE,0.019,0,0.021,0,0
181,CREATE_DELETE,UPDATE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[2; 1; 1; 1],0,,TRUE,0.035,TRUE,0.036,0,0.043,0,0
244,CREATE_DELETE,UPDATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.019,TRUE,0.02,0,0.021,0,0
55,CREATE_DELETE,UPDATE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[1; 2; 1; 1],0,,TRUE,0.064,TRUE,0.058,0,0.107,0,0
117,CREATE_DELETE,UPDATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.025,TRUE,0.02,0,0.021,0,0
180,CREATE_DELETE,UPDATE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[2; 1; 1; 1],0,,TRUE,0.034,TRUE,0.036,0,0.043,0,0
243,CREATE_DELETE,UPDATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.027,TRUE,0.02,0,0.025,0,0
54,CREATE_DELETE,UPDATE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[1; 2; 1; 1],0,,TRUE,0.056,TRUE,0.057,0,0.103,0,0
115,CREATE_DELETE,UPDATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1],0,,TRUE,0.023,TRUE,0.018,0,0.01,0,0
178,CREATE_DELETE,UPDATE,NOOP,,[A -> B|C],[A -> B|C],[1; 1; 1],0,,TRUE,0.018,TRUE,0.018,0,0.011,0,0
241,CREATE_DELETE,UPDATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1],0.004,,TRUE,0.017,TRUE,0.018,0,0.01,0,0
52,CREATE_DELETE,UPDATE,NOOP,,[A|B -> C],[A|B -> C],[2; 1],0,,TRUE,0.033,TRUE,0.033,0,0,0,0
116,CREATE_DELETE,UPDATE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.019,0,0.015,0,0
179,CREATE_DELETE,UPDATE,UPDATE,,[A -> B|C],[A -> B|C],[2; 1; 1],0,,TRUE,0.027,TRUE,0.029,0,0.024,0,0
242,CREATE_DELETE,UPDATE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.027,TRUE,0.019,0,0.014,0,0
53,CREATE_DELETE,UPDATE,UPDATE,,[A|B -> C],[A|B -> C],[1; 2; 1],0,,TRUE,0.041,TRUE,0.051,0,0.029,0,0
110,DELETE_CREATE,CREATE_DELETE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 1; 2; 1],0,,TRUE,0.548,TRUE,0.292,0,1.001,0,0
173,DELETE_CREATE,CREATE_DELETE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[3; 3],0,,TRUE,10.836,TRUE,11.083,0,18.666,0,0
236,DELETE_CREATE,CREATE_DELETE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 1; 2; 1],0,,TRUE,0.368,TRUE,0.335,0,1.063,0,0
47,DELETE_CREATE,CREATE_DELETE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[2; 2; 1; 1],0,,TRUE,0.63,TRUE,0.603,0,1.358,0,0
109,DELETE_CREATE,CREATE_DELETE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[2; 1; 2; 1],0,,TRUE,0.371,TRUE,0.314,0,0.997,0,0
172,DELETE_CREATE,CREATE_DELETE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[2; 2; 1; 1],0,,TRUE,0.596,TRUE,0.531,0,1.171,0,0
235,DELETE_CREATE,CREATE_DELETE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[2; 1; 2; 1],0,,TRUE,0.464,TRUE,0.327,0,1.054,0,0
46,DELETE_CREATE,CREATE_DELETE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[2; 2; 1; 1],0,,TRUE,0.618,TRUE,0.612,0,1.32,0,0
107,DELETE_CREATE,CREATE_DELETE,NOOP,,[A -> B -> C],[A -> B -> C],[2; 2],0,,TRUE,0.058,TRUE,0.054,0,0.051,0,0
170,DELETE_CREATE,CREATE_DELETE,NOOP,,[A -> B|C],[A -> B|C],[2; 2],0,,TRUE,0.051,TRUE,0.052,0,0.052,0,0
233,DELETE_CREATE,CREATE_DELETE,NOOP,,[A -> B -> C],[A -> B -> C],[2; 2],0,,TRUE,0.053,TRUE,0.061,0,0.052,0,0
44,DELETE_CREATE,CREATE_DELETE,NOOP,,[A|B -> C],[A|B -> C],[2; 2],0,,TRUE,0.085,TRUE,0.09,0,0,0,0
108,DELETE_CREATE,CREATE_DELETE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1; 2],0,,TRUE,0.109,TRUE,0.122,0,0.231,0,0
171,DELETE_CREATE,CREATE_DELETE,UPDATE,,[A -> B|C],[A -> B|C],[3; 2],0,,TRUE,0.884,TRUE,0.76,0,1.29,0,0
234,DELETE_CREATE,CREATE_DELETE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1; 2],0,,TRUE,0.119,TRUE,0.124,0,0.243,0,0
45,DELETE_CREATE,CREATE_DELETE,UPDATE,,[A|B -> C],[A|B -> C],[2; 2; 1],0,,TRUE,0.277,TRUE,0.223,0,0.233,0,0
106,DELETE_CREATE,DELETE_CREATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 1; 2; 1],0,,TRUE,0.262,TRUE,0.264,0,0.911,0,0
169,DELETE_CREATE,DELETE_CREATE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[2; 2; 1; 1],0,,TRUE,0.565,TRUE,0.506,0,1.183,0,0
232,DELETE_CREATE,DELETE_CREATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 1; 2; 1],0,,TRUE,0.293,TRUE,0.281,0,0.907,0,0
43,DELETE_CREATE,DELETE_CREATE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[3; 3],0,,TRUE,9.619,TRUE,9.933,0,16.295,0,0
105,DELETE_CREATE,DELETE_CREATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.021,TRUE,0.019,0,0.024,0,0
168,DELETE_CREATE,DELETE_CREATE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[1; 2; 2; 1],0,,TRUE,0.124,TRUE,0.11,0,0.244,0,0
231,DELETE_CREATE,DELETE_CREATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.023,TRUE,0.026,0,0.024,0,0
42,DELETE_CREATE,DELETE_CREATE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[2; 1; 1; 2],0,,TRUE,0.062,TRUE,0.054,0,0.106,0,0
103,DELETE_CREATE,DELETE_CREATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.018,0,0.014,0,0
166,DELETE_CREATE,DELETE_CREATE,NOOP,,[A -> B|C],[A -> B|C],[1; 1; 1; 1],0,,TRUE,0.019,TRUE,0.018,0,0.013,0,0
229,DELETE_CREATE,DELETE_CREATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.018,0,0.014,0,0
40,DELETE_CREATE,DELETE_CREATE,NOOP,,[A|B -> C],[A|B -> C],[2; 2],0,,TRUE,0.079,TRUE,0.081,0,0,0,0
104,DELETE_CREATE,DELETE_CREATE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1; 1; 1],0.004,,TRUE,0.049,TRUE,0.042,0,0.076,0,0
167,DELETE_CREATE,DELETE_CREATE,UPDATE,,[A -> B|C],[A -> B|C],[2; 1; 1; 1],0.004,,TRUE,0.056,TRUE,0.058,0,0.086,0,0
230,DELETE_CREATE,DELETE_CREATE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1; 1; 1],0,,TRUE,0.044,TRUE,0.044,0,0.077,0,0
41,DELETE_CREATE,DELETE_CREATE,UPDATE,,[A|B -> C],[A|B -> C],[3; 2],0.004,,TRUE,0.821,TRUE,0.831,0,0.975,0,0
161,DELETE_CREATE,NOOP,CREATE_DELETE,,[A -> B|C],[A -> B|C],[2; 2],0,,TRUE,0.04,TRUE,0.052,0,0.054,0,0
224,DELETE_CREATE,NOOP,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 2],0,,TRUE,0.051,TRUE,0.053,0,0.096,0,0
35,DELETE_CREATE,NOOP,CREATE_DELETE,,[A|B -> C],[A|B -> C],[2; 2],0,,TRUE,0.048,TRUE,0.051,0,0.094,0,0
98,DELETE_CREATE,NOOP,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 2],0,,TRUE,0.066,TRUE,0.073,0,0.142,0,0
160,DELETE_CREATE,NOOP,DELETE_CREATE,,[A -> B|C],[A -> B|C],[1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.018,0,0.013,0,0
223,DELETE_CREATE,NOOP,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.017,FALSE,0.02,2,0.016,1,0
34,DELETE_CREATE,NOOP,DELETE_CREATE,,[A|B -> C],[A|B -> C],[1; 1; 1; 1],0,,TRUE,0.018,FALSE,0.019,2,0.016,1,0
97,DELETE_CREATE,NOOP,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 2; 1],0,,TRUE,0.03,FALSE,0.017,2,0.028,1,0
158,DELETE_CREATE,NOOP,NOOP,,[A -> B|C],[A -> B|C],[1; 1],0,,TRUE,0.017,TRUE,0.017,0,0,0,0
221,DELETE_CREATE,NOOP,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0.004,,TRUE,0.016,TRUE,0.018,0,0,0,0
32,DELETE_CREATE,NOOP,NOOP,,[A|B -> C],[A|B -> C],[1; 1],0,,TRUE,0.019,TRUE,0.017,0,0,0,0
95,DELETE_CREATE,NOOP,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0,,TRUE,0.017,TRUE,0.017,0,0,0,0
159,DELETE_CREATE,NOOP,UPDATE,,[A -> B|C],[A -> B|C],[2; 1],0,,TRUE,0.024,TRUE,0.023,0,0.015,0,0
222,DELETE_CREATE,NOOP,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1],0,,TRUE,0.027,TRUE,0.023,0,0.02,0,0
33,DELETE_CREATE,NOOP,UPDATE,,[A|B -> C],[A|B -> C],[2; 1],0,,TRUE,0.025,TRUE,0.023,0,0.019,0,0
96,DELETE_CREATE,NOOP,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1],0,,TRUE,0.03,TRUE,0.03,0,0.027,0,0
102,DELETE_CREATE,UPDATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 2; 1],0,,TRUE,0.181,TRUE,0.185,0,0.521,0,0
165,DELETE_CREATE,UPDATE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[3; 2],0,,TRUE,0.815,TRUE,0.793,0,1.308,0,0
228,DELETE_CREATE,UPDATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 2; 1],0,,TRUE,0.244,TRUE,0.197,0,0.556,0,0
39,DELETE_CREATE,UPDATE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[2; 3],0,,TRUE,0.674,TRUE,0.744,0,1.595,0,0
101,DELETE_CREATE,UPDATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0.004,,TRUE,0.019,FALSE,0.019,2,0.02,1,0
164,DELETE_CREATE,UPDATE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[2; 1; 1; 1],0,,TRUE,0.059,TRUE,0.06,0,0.086,0,0
227,DELETE_CREATE,UPDATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.02,FALSE,0.019,2,0.021,1,0
38,DELETE_CREATE,UPDATE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[1; 1; 1; 2],0,,TRUE,0.023,FALSE,0.019,2,0.023,1,0
162,DELETE_CREATE,UPDATE,NOOP,,[A -> B|C],[A -> B|C],[2; 1],0,,TRUE,0.025,TRUE,0.024,0,0.015,0,0
225,DELETE_CREATE,UPDATE,NOOP,,[A -> B -> C],[A -> B -> C],[2; 1],0,,TRUE,0.026,TRUE,0.025,0,0.014,0,0
36,DELETE_CREATE,UPDATE,NOOP,,[A|B -> C],[A|B -> C],[2; 1],0,,TRUE,0.029,TRUE,0.029,0,0,0,0
99,DELETE_CREATE,UPDATE,NOOP,,[A -> B -> C],[A -> B -> C],[2; 1],0,,TRUE,0.03,TRUE,0.03,0,0.015,0,0
100,DELETE_CREATE,UPDATE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1; 1],0,,TRUE,0.039,TRUE,0.038,0,0.051,0,0
163,DELETE_CREATE,UPDATE,UPDATE,,[A -> B|C],[A -> B|C],[3; 1],0,,TRUE,0.129,TRUE,0.128,0,0.148,0,0
226,DELETE_CREATE,UPDATE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1; 1],0,,TRUE,0.038,TRUE,0.039,0,0.05,0,0
37,DELETE_CREATE,UPDATE,UPDATE,,[A|B -> C],[A|B -> C],[2; 2],0,,TRUE,0.064,TRUE,0.065,0,0.077,0,0
141,NOOP,CREATE_DELETE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[2; 2],0,,TRUE,0.1,TRUE,0.115,0,0.206,0,0
15,NOOP,CREATE_DELETE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[1; 1; 1; 1],0,,TRUE,0.02,TRUE,0.019,0,0.018,0,0
204,NOOP,CREATE_DELETE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.019,TRUE,0.018,0,0.024,0,0
78,NOOP,CREATE_DELETE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.019,TRUE,0.018,0,0.024,0,0
14,NOOP,CREATE_DELETE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[1; 1; 1; 1],0,,TRUE,0.019,TRUE,0.018,0,0.018,0,0
140,NOOP,CREATE_DELETE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[2; 2],0,,TRUE,0.081,FALSE,0.018,2,0.108,1,0
203,NOOP,CREATE_DELETE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0.004,,TRUE,0.019,TRUE,0.018,0,0.023,0,0
77,NOOP,CREATE_DELETE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0.004,,TRUE,0.018,TRUE,0.018,0,0.023,0,0
12,NOOP,CREATE_DELETE,NOOP,,[A|B -> C],[A|B -> C],[1; 1],0,,TRUE,0.013,TRUE,0.017,0,0,0,0
138,NOOP,CREATE_DELETE,NOOP,,[A -> B|C],[A -> B|C],[1; 1],0,,TRUE,0.016,TRUE,0.016,0,0.012,0,0
201,NOOP,CREATE_DELETE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0,,TRUE,0.017,TRUE,0.017,0,0.012,0,0
75,NOOP,CREATE_DELETE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0,,TRUE,0.017,TRUE,0.018,0,0.012,0,0
13,NOOP,CREATE_DELETE,UPDATE,,[A|B -> C],[A|B -> C],[1; 1; 1],0,,TRUE,0.017,TRUE,0.018,0,0.013,0,0
139,NOOP,CREATE_DELETE,UPDATE,,[A -> B|C],[A -> B|C],[2; 1],0.004,,TRUE,0.033,TRUE,0.032,0,0.04,0,0
202,NOOP,CREATE_DELETE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1],0,,TRUE,0.016,TRUE,0.016,0,0.016,0,0
76,NOOP,CREATE_DELETE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1],0,,TRUE,0.02,TRUE,0.018,0,0.016,0,0
11,NOOP,DELETE_CREATE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[2; 2],0,,TRUE,0.048,TRUE,0.119,0,0.095,0,0
137,NOOP,DELETE_CREATE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[2; 2],0,,TRUE,0.081,FALSE,0.024,2,0.097,1,0
200,NOOP,DELETE_CREATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 2],0,,TRUE,0.05,FALSE,0.038,2,0.103,1,0
74,NOOP,DELETE_CREATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[2; 2],0,,TRUE,0.051,FALSE,0.02,2,0.103,1,0
10,NOOP,DELETE_CREATE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[1; 1; 1; 1],0,,TRUE,0.017,FALSE,0.019,2,0.017,1,0
136,NOOP,DELETE_CREATE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[2; 2],0,,TRUE,0.071,FALSE,0.018,4,0.017,2,0
199,NOOP,DELETE_CREATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.018,FALSE,0.032,4,0.019,2,0
73,NOOP,DELETE_CREATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.017,FALSE,0.018,4,0.019,2,0
134,NOOP,DELETE_CREATE,NOOP,,[A -> B|C],[A -> B|C],[1; 1],0,,TRUE,0.016,FALSE,0.017,2,0.012,1,0
197,NOOP,DELETE_CREATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0,,TRUE,0.017,FALSE,0.017,2,0.012,1,0
71,NOOP,DELETE_CREATE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1],0,,TRUE,0.016,FALSE,0.017,2,0.011,1,0
8,NOOP,DELETE_CREATE,NOOP,,[A|B -> C],[A|B -> C],[1; 1],0,,TRUE,0.016,TRUE,0.017,0,0,0,0
135,NOOP,DELETE_CREATE,UPDATE,,[A -> B|C],[A -> B|C],[2; 1],0,,TRUE,0.028,FALSE,0.018,2,0.021,1,0
198,NOOP,DELETE_CREATE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1],0,,TRUE,0.023,FALSE,0.022,2,0.022,1,0
72,NOOP,DELETE_CREATE,UPDATE,,[A -> B -> C],[A -> B -> C],[2; 1],0,,TRUE,0.023,FALSE,0.018,2,0.023,1,0
